;values
0;Goblins
1;Hulk Talks (Marvel)
2;and all the wackiness involved with a headstrong character reincarnating into an unprepared world
3;Shounen-ai
4;Humor
5;challenge
6;Alternate Universe - Modern Setting
7;Grimdark
8;Short One Shot
9;Italiano | Italian
10;universo alternativo
11;embarazo inesperado
12;Nobody is Dead
13;Sexual Content
14;Discipline
15;Ichiro castiga severamente a Ryoga
16;Fandoms will be added as story goes on
17;He is a good dad but a terrible teacher
18;Cross-Posted on FanFiction.Net
19;apotheosis
20;Angst and Tragedy
21;Patricide
22;Temporal Paradox
23;Accidental Voyeurism
24;Animal Play
25;Explosions
26;Forced Marriage
27;Gamer Sawada Tsunayoshi
28;Curses
29;Genderswap
30;Ray almost manages a bit of gender introspection
31;Nihlus Kryik Lives
32;The Curse of Jusenkyo (Ranma 1/2)
33;Shepard is a good cook
34;Unrequited Love
35;seriously
36;General Fix-It
37;Warning in Chapter 6 for explicit curse description
38;Lingerie
39;Hair
40;Gladiators
41;Martial Arts
42;Telepathy
43;Female Protagonist
44;Cock Worship
45;Political Alliances
46;(Post-Canon for Ranma)
47;backdated
48;Infection just a Fanta juice
49;Splitting Soul
50;One Shot Collection
51;Nostalgia
52;Crack Treated Seriously
53;Mood Whiplash
54;Saotome Ranma is The Shadow
55;The Virus - Freeform
56;Talking Animals
57;Not Just Dark Though
58;Alternate Universe - Un-Go Fusion
59;Demisexuality
60;Blushing
61;pero encubierto
62;Female Monkey D. Dragon
63;Public Nudity
64;POV Third Person
65;Internalised Transphobia
66;assault rifle
67;Nonbinary Tenoh Haruka
68;(Not)Cheating
69;Ranma is sailor senshi/knight
70;Porn With Plot
71;Imaginary Friends
72;Blow Jobs
73;Cheating
74;No Crystal Tokyo
75;Naru Osaka is a Hero
76;No Beta
77;artistas marciales con poderes en un entorno moderno
78;Main Characters Tagged
79;Older Woman/Younger Man
80;Multiple Personalities
81;"ALSO not a ""Skill Tree Game Mechanics Interface"" kind of fic"
82;Genderbending (obviously)
83;Beta Ranma
84;Exhibitionism
85;not yaoi
86;Kissing
87;Community: hc_bingo
88;Post-Series
89;Non-Consensual Soul Bond
90;Iriomote Island
91;Dysphoria
92;Catgirl Ranma
93;love dodecahedron
94;Bondage
95;Stalking
96;No Lesbians Die
97;Alternate Universe - Writing & Publishing
98;Collars
99;Identity Issues
100;(kind of)
101;Short & Sweet
102;Self-Acceptance
103;Shampoo - Freeform
104;Mild Language
105;Photos
106;Trans Male Character
107;Trans Female Soun Tendou
108;Family Angst
109;Other Ships Not Mentioned in Tags
110;Relationship(s)
111;Exploration
112;Cum Inflation
113;kobold
114;Sensitive Tail
115;Sad with a Happy Ending
116;Teen Angst
117;Heartwarming
118;a bit of humor
119;It's more complicated than that tag suggests
120;Kunou Tatewaki has a heart
121;Passive text
122;Teen Pregnancy
123;Incredibly Self-Indulgent
124;Mythical Beings & Creatures
125;Porn Logic
126;Dialogue-Only
127;Crack and Angst
128;Ineptly-Attempted Seduction
129;Grief/Mourning
130;Crossdressing Kink
131;Happy
132;Alternate Universe - Hogwarts
133;Huddling For Warmth
134;Doppelganger
135;Christian Holidays
136;Sleeping Together
137;Akane is a pain
138;Nabiki is a clever as always
139;Tendou Akane Bashing
140;Fondling
141;Genma's still a jackass
142;Restaurants
143;Gender or Sex Change
144;Blood and Injury
145;Origin Story
146;SMUUUUUUUUUUUT
147;I cleaned it up a little?
148;Angst and Drama
149;It's far more closer to canon than it's inspiration
150;Knotting
151;Misunderstandings
152;Frustration
153;Male Solo
154;Ailurophobia
155;She's my girl
156;cat fist hinted to
157;Ranma runs away from Genma at Jusenkyo BEFORE visit to Amazon village and meeting with Tendos
158;eternal youth
159;Smart Ranma
160;Ranma would make a great actor
161;Genma’s an idiot
162;probably some fluff later on
163;Non-Linear Narrative
164;internalized heteronormativity
165;Family Feels
166;Ranma Didn't Sign Up for This
167;Exposure
168;Running
169;River rescue
170;Loss of Virginity
171;Breeding
172;Family Fluff
173;Milking
174;Sharing a Bed
175;Don't Like Don't Read
176;Feelings
177;Nipples
178;Sharing Body Heat
179;Adorable
180;Rule 34
181;Sunshine and Whiskey
182;cervical touching
183;The Author Regrets Everything
184;Dancing
185;Dirty Dancing
186;bimbofication
187;Self-Sacrifice
188;Crazy
189;Drought
190;dumb
191;Bravery
192;Angst and Fluff and Smut
193;Lesbians
194;reconnecting
195;ukyo and shampoo are just mentioned
196;They end up with the right people
197;how to save a life
198;Knock Knock
199;who's there?
200;Group Sex
201;Voodoo doll
202;ADHD
203;Tanuki
204;Monster Boy
205;queer positive
206;Referenced Masturbation
207;trans girl ryoga
208;Obsession
209;street fighter ii
210;Dreams vs. Reality
211;Nabiki likes gems
212;Shinichi probably doesn’t realise that though
213;Early 1990s Ambience
214;Comfort No Hurt
215;Sleep Deprivation
216;Ryoga uses his ultimate techique to inflct maximum damage
217;gender non-conforming Kaito
218;Training
219;Jealousy
220;Denial of Feelings
221;Prompt Fic
